artist_album,year,cluster
Hilmar Jensson Meg Nem Sa (Skirl),2007,0
Agusti Martinez Are Spirits What I Hear (Etude),2007,0
Carla Bley Appearing Nightly (Watt),2008,0
Dave Holland Pass it On (Dare2),2008,0
Bill Frisell History Mystery (Nonesuch),2008,6
Leo Smith Tabligh (Cuneiform),2008,3
"Dave Hurley Outer Nebula, Inner Nebula (Porter)",2009,0
Joe Morris Colorfield,2009,0
Vijay Iver Historicity,2009,0
Ergo Multitude Solitude (Cuneiform),2009,0
Darcy James Argue Infernal Machines,2009,0
Steve Lehman Travil Transformation and Flow,2009,0
Bill Frisell Disfarmer,2009,6
Henry Threadgill This Brings to Us,2009,0
Joe Lovano Us Five (Blue Note),2009,6
